Sl No,Wards,2010-15 reservation,Final reservation
1,Kempegowda Ward,OBC-A,OBC-A (Women)
2,Choudeshwari Ward,OBC-A (Women),General (Women)
3,Attur,General (Women),ST (Women)
4,Yelahanka Sub Division,OBC-A,OBC-B (Women)
5,Jakkur,General (Women),General 
6,Thanisandra,OBC-A (Women),SC (Women)
7,Byatarayanapura,ST (Women),OBC-A
8,Kodigehalli,OBC-B,General
9,Vidyaranyapura,General (Women),OBC-A (Women)
10,Doddabommasandra,General ,General (Women)
11,Kuvempunagar,OBC-A (Women),SC
12,Shettihalli,SC (Women),General
13,Mallasandra,OBC-A (Women),General
14,Bagalkunte,General,ST
15,T. Dasarahalli,General (Women),OBC-A (Women)
16,Jalahalli,SC ,OBC-B
17,J.P Garden,General,General (Women)
18,Radha Krishna Temple Ward,OBC-A,General
19,Sanjayanagar,OBC-B,General (Women)
20,Ganganagar,General,General (Women)
21,Hebbal,General,General
22,Vishwanatha Nagenahalli,OBC-B (Women),OBC-A
23,Nagavara,General (Women),OBC-A (Women)
24,H.B.R Layout,OBC-A,SC
25,Horamavu,General (Women),SC (Women)
26,Ramamurthy nagar,OBC-A,General (Women)
27,Banaswadi,General,General
28,Kammanahalli,General,SC (Women)
29,Kacharakanahalli,General,General
30,Kadugondanahalli,General (Women),OBC-A
31,Kushaal nagar,General (Women),OBC-A (Women)
32,Kavalbyrasandra,General (Women),General (Women)
33,Manorayanapalya,OBC-A (Women),General
34,Gangenahalli,General,OBC-A
35,Aramane Nagar,General,General (Women)
36,Mattikere,General,General
37,Yashwanthpura,General,OBC-A
38,H.M.T Ward,General (Women),General (Women)
39,Chokkasandra,OBC-A,OBC-A (Women)
40,Doddabidirekallu,General (Women),ST
41,Peenay Industrial Area,General,General (Women)
42,Lakshmidevinagara,OBC-A,SC
43,Nandini Layout,OBC-A,General
44,Marappana Palya,General (Women),SC
45,Malleshwaram,OBC-A,General
46,Jayachamarajendra Nagar,General,General
47,Devarajeevanahalli,SC,General
48,Muneshwara Nagar,SC (Women),General (Women)
49,Lingarajapura,General (Women),General (Women)
50,Benniganahalli,SC,OBC-A (Women)
51,Vignanapura,SC,OBC-A
52,K.R.Puram,General,OBC-A
53,Basavanapura,General,SC
54,Hoodi,OBC-A,SC
55,Devasandra,OBC-B (Women),General
56,A.Narayanapura,OBC-A,SC
57,C.V Raman Nagar,OBC-A,OBC-B (Women)
58,New Thippasandra,General (Women),General (Women)
59,Maruthi Seva Nagar,SC,OBC-B (Women)
60,Sagayapuram,SC,General
61,S.K Garden,ST (Women),General
62,Ramaswamy Palya,SC,General (Women)
63,Jayamahal,General,OBC-A
64,Rajmahal Guttahalli,General (Women),OBC-A (Women)
65,Kadu Malleshwaram,OBC-A,General
66,Subramanya Nagar,General (Women),OBC-A
67,Nagapura,OBC-A,General
68,Mahalakshmipuram,OBC-B,General
69,Laggere,General,OBC-B (Women)
70,Rajagopalanagar,General,General (Women)
71,Heggenahalli,General,General (Women)
72,Herohalli,OBC-B,OBC-A
73,Kottigepalya,General,OBC-A
74,Shakthi Ganapathi Nagar,General (Women),SC (Women)
75,Shankaramatt,General,OBC-A
76,Gayithri Nagar,General (Women),General (Women)
77,Dattatreya Temple,General,General
78,Pulakeshinagar,General,OBC-A
79,Sarvajna Nagar,SC (Women),OBC-A (Women)
80,Hoysala Nagar,SC (Women),General
81,Vignana Nagar,General (Women),OBC-A
82,Garudachar Palya,General,OBC-A
83,Kadugodi,General,SC
84,Hagaduru,OBC-B,General
85,Doddanekundi,General,OBC-A (Women)
86,Marathhalli,OBC-A (Women),General
87,H.A.L Airport,General,SC
88,Jeevan Bheema Nagar,SC,OBC-A (Women)
89,Jogupalya,General,General
90,Halsoor,SC,General (Women)
91,Bharathi Nagar,General,OBC-A
92,Shivaji Nagar,General (Women),General (Women)
93,Vasanth Nagar,General,General
94,Gandhi Nagar,General,OBC-A
95,Subhash Nagar,SC,General
96,Okalipuram,SC (Women),OBC-A
97,Dayananda Nagar,SC (Women),General (Women)
98,Prakash Nagar,General,OBC-B (Women)
99,Rajajinagar,OBC-A,General
100,Basaveshwaranagar,OBC-A,General (Women)
101,Kamakshipalya,General,OBC-A (Women)
102,Vrushabhavathi Nagar,OBC-A (Women),General (Women)
103,Kaveripura,General,OBC-A (Women)
104,Govindarajanagar,OBC-A,General
105,Agrahara Dasarahalli,OBC-A (Women),General (Women)
106,Dr. Rajkumar Ward,General,OBC-A (Women)
107,Shiva Nagar,General,OBC-A (Women)
108,Sri Ramamandira Ward,OBC-A (Women),General (Women)
109,Chikpete,General,OBC-A (Women)
110,Samapangirama Nagar,OBC-A,OBC-B
111,Shantala Nagar,OBC-A,OBC-B
112,Dommalur,General (Women),OBC-A
113,Konena Agrahara,General,General
114,Agaram,SC (Women),OBC-A (Women)
115,Vannarpete,SC,General
116,Neelasandra,ST,SC
117,Shanthi Nagar,General (Women),General (Women)
118,Sudham Nagar,SC,General
119,Dharmaraya Swamy Temple Ward,OBC-A,OBC-A (Women)
120,Cottonpet,OBC-A (Women),General
121,Binnypet,OBC-A (Women),General (Women)
122,Kempapura Agrahara,OBC-A (Women),ST (Women)
123,Vijaynagara,General,OBC-A (Women)
124,Hosahalli,OBC-A,General (Women)
125,Marenahalli,OBC-A (Women),General (Women)
126,Maruthi Mandira Ward,General,OBC-A
127,Moodalapalya,OBC-A (Women),OBC-B
128,Nagarbhavi,General,OBC-A
129,Gnanabharathi Ward,OBC-B,SC (Women)
130,Ullala,OBC-A,SC (Women)
131,Nayandahalli,General (Women),OBC-A (Women)
132,Attiguppe,General,OBC-A
133,Hampi Nagar,General,General
134,Bapuji Nagar,OBC-A,General
135,Padarayanapura,General (Women),General
136,Jagajeevan Ramnagar,General (Women),OBC-A (Women)
137,Rayapuram,SC,General (Women)
138,Chalavadi Palya,SC,General (Women)
139,K.R Market,SC,OBC-A (Women)
140,Chamarajpete,OBC-A,General (Women)
141,Azad Nagar,General (Women),OBC-A (Women)
142,Sunkenahalli,General,OBC (B)
143,Vishweshwarapuram,General,General (Women)
144,Siddapura,General,General
145,Hombegowda Nagar,General,OBC-A
146,Lakkasandra,General,General
147,Adugodi,General,SC (Women)
148,Ejipura,General (Women),SC
149,Varthur,General,SC (Women)
150,Bellandur,OBC-B,SC (Women)
151,Koramangala,OBC-A (Women),OBC-B
152,Suddugunte Palya,General,General
153,Jayanagar,General (Women),General (Women)
154,Basavanagudi,General,General
155,Hanumathnagar,General,General
156,Srinagar,General,General (Women)
157,Gali Anjaneya Temple,General,General (Women)
158,Deepanjali Nagar,OBC-A (Women),OBC-B (Women)
159,Kengeri,General,OBC-A
160,Rajarajeshwari Nagar,General,OBC-A (Women)
161,Hosakerehalli,General,OBC-A (Women)
162,Girinagar,General (Women),General (Women)
163,Kathriguppe,OBC-A,General
164,VidyaPeeta Ward,OBC-A,General (Women)
165,Ganesh Mandira,OBC-A,OBC-B (Women)
166,Karisandra,General (Women),General (Women)
167,Yadiyur,OBC-A,General (Women)
168,Pattabhirama Nagar,General,General (Women)
169,Byrasandra,OBC-A,General
170,Jayanagar East,OBC-A,General
171,Guruppanapalya,General,OBC-A
172,Madiwala,General,General
173,Jakkasandra,General (Women),General (Women)
174,H.S.R. Layout,General (Women),General
175,Bommanahalli,General,OBC-A
176,B.T.M.Layout,General,General
177,J.P Nagar,OBC-A,General (Women)
178,Sarakki,General,General (Women)
179,Shakambari Nagar,OBC-A,General (Women)
180,Banashankari Temple Ward,General,General
181,Kumaraswamy Layout,OBC-A,General
182,Padmanabhanagar,General,General (Women)
183,Chikkakallasandra,General,General (Women)
184,Uttarahalli,OBC-A,General
185,Yalachenahalli,OBC-A,General
186,Jaraganahalli,General (Women),General (Women)
187,Puttenahalli,OBC-A,General (Women)
188,Bilekahalli,General (Women),General
189,Hongasandra,OBC-B (Women),OBC-A (Women)
190,Mangammana Palya,OBC-B (Women),General (Women)
191,Singasandra,General (Women),SC (Women)
192,Begur,OBC-B,SC
193,Arakere,General,General (Women)
194,Gottigere,OBC-B (Women),SC (Women)
195,Konanakunte,General (Women),General (Women)
196,Anajanapura,General,OBC-A
197,Vasanthapura,General (Women),General (Women)
198,Hemmigepura,OBC-A (Women),General
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
